alpha,cl,cd
-180,0.0,1.0
-179,0.10966,1.0
-178,0.21932,1.0
-177,0.32899,1.0
-176,0.43865,1.0
-175,0.54831,1.0
-174,0.65797,1.0
-173,0.76764,1.0
-172,0.8773,1.0
-171,0.98696,1.0
-170,1.09662,1.0
-169,1.20628,1.0
-168,1.31595,1.0
-167,1.42561,1.0
-166,1.53527,1.0
-165,1.64493,1.0
-164,1.7546,1.0
-163,1.86426,1.0
-162,1.97392,1.0
-161,2.08358,1.0
-160,2.19325,1.0
-159,2.19325,1.0
-158,2.19325,1.0
-157,2.19325,1.0
-156,2.19325,1.0
-155,2.19325,1.0
-154,2.19325,1.0
-153,2.19325,1.0
-152,2.19325,1.0
-151,2.19325,1.0
-150,2.19325,1.0
-149,2.19325,1.0
-148,2.19325,1.0
-147,2.19325,1.0
-146,2.19325,1.0
-145,2.19325,1.0
-144,2.19325,1.0
-143,2.19325,1.0
-142,2.19325,1.0
-141,2.19325,1.0
-140,2.19325,1.0
-139,2.19325,1.0
-138,2.19325,1.0
-137,2.19325,1.0
-136,2.19325,1.0
-135,2.19325,1.0
-134,2.19325,1.0
-133,2.19325,1.0
-132,2.19325,1.0
-131,2.19325,1.0
-130,2.19325,1.0
-129,2.19325,1.0
-128,2.19325,1.0
-127,2.19325,1.0
-126,2.19325,1.0
-125,2.19325,1.0
-124,2.19325,1.0
-123,2.19325,1.0
-122,2.19325,1.0
-121,2.19325,1.0
-120,2.19325,1.0
-119,2.19325,1.0
-118,2.19325,1.0
-117,2.19325,1.0
-116,2.19325,1.0
-115,2.19325,1.0
-114,2.19325,1.0
-113,2.19325,1.0
-112,2.19325,1.0
-111,2.19325,1.0
-110,2.19325,1.0
-109,2.19325,1.0
-108,2.19325,1.0
-107,2.19325,1.0
-106,2.19325,1.0
-105,2.19325,1.0
-104,2.19325,1.0
-103,2.19325,1.0
-102,2.19325,1.0
-101,2.19325,1.0
-100,2.19325,1.0
-99,2.19325,1.0
-98,2.19325,1.0
-97,2.19325,1.0
-96,2.19325,1.0
-95,2.19325,1.0
-94,2.19325,1.0
-93,2.19325,1.0
-92,2.19325,1.0
-91,2.19325,1.0
-90,-0.0,1.0
-89,-0.03133,0.98629
-88,-0.06266,0.97257
-87,-0.094,0.95886
-86,-0.12533,0.94514
-85,-0.15666,0.93143
-84,-0.18799,0.91771
-83,-0.21932,0.904
-82,-0.25066,0.89029
-81,-0.28199,0.87657
-80,-0.31332,0.86286
-79,-0.34465,0.84914
-78,-0.37598,0.83543
-77,-0.40732,0.82171
-76,-0.43865,0.808
-75,-0.46998,0.79429
-74,-0.50131,0.78057
-73,-0.53265,0.76686
-72,-0.56398,0.75314
-71,-0.59531,0.73943
-70,-0.62664,0.72571
-69,-0.65797,0.712
-68,-0.68931,0.69829
-67,-0.72064,0.68457
-66,-0.75197,0.67086
-65,-0.7833,0.65714
-64,-0.81463,0.64343
-63,-0.84597,0.62971
-62,-0.8773,0.616
-61,-0.90863,0.60229
-60,-0.93996,0.58857
-59,-0.97129,0.57486
-58,-1.00263,0.56114
-57,-1.03396,0.54743
-56,-1.06529,0.53371
-55,-1.09662,0.52
-54,-1.12795,0.50629
-53,-1.15929,0.49257
-52,-1.19062,0.47886
-51,-1.22195,0.46514
-50,-1.25328,0.45143
-49,-1.28462,0.43771
-48,-1.31595,0.424
-47,-1.34728,0.41029
-46,-1.37861,0.39657
-45,-1.40994,0.38286
-44,-1.44128,0.36914
-43,-1.47261,0.35543
-42,-1.50394,0.34171
-41,-1.53527,0.328
-40,-1.5666,0.31429
-39,-1.59794,0.30057
-38,-1.62927,0.28686
-37,-1.6606,0.27314
-36,-1.69193,0.25943
-35,-1.72326,0.24571
-34,-1.7546,0.232
-33,-1.78593,0.21829
-32,-1.81726,0.20457
-31,-1.84859,0.19086
-30,-1.87992,0.17714
-29,-1.91126,0.16343
-28,-1.94259,0.14971
-27,-1.97392,0.136
-26,-2.00525,0.12229
-25,-2.03659,0.10857
-24,-2.06792,0.09486
-23,-2.09925,0.08114
-22,-2.13058,0.06743
-21,-2.16191,0.05371
-20,-2.19325,0.0541
-19,-2.08358,0.04941
-18,-1.97392,0.04496
-17,-1.86426,0.04075
-16,-1.7546,0.03679
-15,-1.64493,0.03306
-14,-1.53527,0.02957
-13,-1.42561,0.02632
-12,-1.31595,0.02332
-11,-1.20628,0.02055
-10,-1.09662,0.01803
-9,-0.98696,0.01574
-8,-0.8773,0.0137
-7,-0.76764,0.01189
-6,-0.65797,0.01033
-5,-0.54831,0.00901
-4,-0.43865,0.00792
-3,-0.32899,0.00708
-2,-0.21932,0.00648
-1,-0.10966,0.00612
0,0.0,0.006
1,0.10966,0.00612
2,0.21932,0.00648
3,0.32899,0.00708
4,0.43865,0.00792
5,0.54831,0.00901
6,0.65797,0.01033
7,0.76764,0.01189
8,0.8773,0.0137
9,0.98696,0.01574
10,1.09662,0.01803
11,1.20628,0.02055
12,1.31595,0.02332
13,1.42561,0.02632
14,1.53527,0.02957
15,1.64493,0.03306
16,1.7546,0.03679
17,1.86426,0.04075
18,1.97392,0.04496
19,2.08358,0.04941
20,2.19325,0.0541
21,2.16191,0.05371
22,2.13058,0.06743
23,2.09925,0.08114
24,2.06792,0.09486
25,2.03659,0.10857
26,2.00525,0.12229
27,1.97392,0.136
28,1.94259,0.14971
29,1.91126,0.16343
30,1.87992,0.17714
31,1.84859,0.19086
32,1.81726,0.20457
33,1.78593,0.21829
34,1.7546,0.232
35,1.72326,0.24571
36,1.69193,0.25943
37,1.6606,0.27314
38,1.62927,0.28686
39,1.59794,0.30057
40,1.5666,0.31429
41,1.53527,0.328
42,1.50394,0.34171
43,1.47261,0.35543
44,1.44128,0.36914
45,1.40994,0.38286
46,1.37861,0.39657
47,1.34728,0.41029
48,1.31595,0.424
49,1.28462,0.43771
50,1.25328,0.45143
51,1.22195,0.46514
52,1.19062,0.47886
53,1.15929,0.49257
54,1.12795,0.50629
55,1.09662,0.52
56,1.06529,0.53371
57,1.03396,0.54743
58,1.00263,0.56114
59,0.97129,0.57486
60,0.93996,0.58857
61,0.90863,0.60229
62,0.8773,0.616
63,0.84597,0.62971
64,0.81463,0.64343
65,0.7833,0.65714
66,0.75197,0.67086
67,0.72064,0.68457
68,0.68931,0.69829
69,0.65797,0.712
70,0.62664,0.72571
71,0.59531,0.73943
72,0.56398,0.75314
73,0.53265,0.76686
74,0.50131,0.78057
75,0.46998,0.79429
76,0.43865,0.808
77,0.40732,0.82171
78,0.37598,0.83543
79,0.34465,0.84914
80,0.31332,0.86286
81,0.28199,0.87657
82,0.25066,0.89029
83,0.21932,0.904
84,0.18799,0.91771
85,0.15666,0.93143
86,0.12533,0.94514
87,0.094,0.95886
88,0.06266,0.97257
89,0.03133,0.98629
90,0.0,1.0
91,-2.19325,1.0
92,-2.19325,1.0
93,-2.19325,1.0
94,-2.19325,1.0
95,-2.19325,1.0
96,-2.19325,1.0
97,-2.19325,1.0
98,-2.19325,1.0
99,-2.19325,1.0
100,-2.19325,1.0
101,-2.19325,1.0
102,-2.19325,1.0
103,-2.19325,1.0
104,-2.19325,1.0
105,-2.19325,1.0
106,-2.19325,1.0
107,-2.19325,1.0
108,-2.19325,1.0
109,-2.19325,1.0
110,-2.19325,1.0
111,-2.19325,1.0
112,-2.19325,1.0
113,-2.19325,1.0
114,-2.19325,1.0
115,-2.19325,1.0
116,-2.19325,1.0
117,-2.19325,1.0
118,-2.19325,1.0
119,-2.19325,1.0
120,-2.19325,1.0
121,-2.19325,1.0
122,-2.19325,1.0
123,-2.19325,1.0
124,-2.19325,1.0
125,-2.19325,1.0
126,-2.19325,1.0
127,-2.19325,1.0
128,-2.19325,1.0
129,-2.19325,1.0
130,-2.19325,1.0
131,-2.19325,1.0
132,-2.19325,1.0
133,-2.19325,1.0
134,-2.19325,1.0
135,-2.19325,1.0
136,-2.19325,1.0
137,-2.19325,1.0
138,-2.19325,1.0
139,-2.19325,1.0
140,-2.19325,1.0
141,-2.19325,1.0
142,-2.19325,1.0
143,-2.19325,1.0
144,-2.19325,1.0
145,-2.19325,1.0
146,-2.19325,1.0
147,-2.19325,1.0
148,-2.19325,1.0
149,-2.19325,1.0
150,-2.19325,1.0
151,-2.19325,1.0
152,-2.19325,1.0
153,-2.19325,1.0
154,-2.19325,1.0
155,-2.19325,1.0
156,-2.19325,1.0
157,-2.19325,1.0
158,-2.19325,1.0
159,-2.19325,1.0
160,-2.19325,1.0
161,-2.08358,1.0
162,-1.97392,1.0
163,-1.86426,1.0
164,-1.7546,1.0
165,-1.64493,1.0
166,-1.53527,1.0
167,-1.42561,1.0
168,-1.31595,1.0
169,-1.20628,1.0
170,-1.09662,1.0
171,-0.98696,1.0
172,-0.8773,1.0
173,-0.76764,1.0
174,-0.65797,1.0
175,-0.54831,1.0
176,-0.43865,1.0
177,-0.32899,1.0
178,-0.21932,1.0
179,-0.10966,1.0
180,-0.0,1.0
